date,carry,constant,spy_total,carry_dd,spy_dd,inmkt,vix_over_vix3m
2025-02-05,3.167126114366354,2.7459087257046617,5.922313294388889,-0.07124942892869635,-0.00906923972245155,1.0,0.9232832920347318
2025-02-06,3.170776753550056,2.74907384184685,5.942896450862818,-0.07017888954876483,-0.005625233659322992,1.0,0.8780624055618119
2025-02-07,3.149262522829412,2.730420933269997,5.888499282256193,-0.07648787547051916,-0.014727053330933493,1.0,0.8639910556621514
2025-02-10,3.1653304424012227,2.7443518722231444,5.928488788965822,-0.07177600453789212,-0.008035946272406003,1.0,0.8878153915772585
2025-02-11,3.162958978453861,2.742295805205094,5.932997039958087,-0.0724714294802069,-0.007281618637034248,1.0,0.8672518045527357
2025-02-12,3.16658461300874,2.745439242252106,5.913884587040415,-0.07140822263534363,-0.010479544271671193,1.0,0.8763675819609483
2025-02-13,3.1771659916442876,2.7546133322239377,5.976319816870932,-0.06830526396062964,-3.2783573841288494e-05,1.0,0.8678318112218564
2025-02-14,3.1795059974680258,2.75664212494566,5.976025919552905,-0.06761906402206419,-8.19589346030547e-05,1.0,0.8464125488143326
2025-02-18,3.182319374378097,2.7590813319513483,5.993570920107765,-0.0667940493818151,0.0,1.0,0.8293094016226279
2025-02-19,3.190114972663733,2.765840141225635,6.007685293169795,-0.06450801273591555,0.0,1.0,0.8613917094767614
2025-02-20,3.186525312848228,2.7627278943956157,5.982691242993217,-0.06556067009252642,-0.004160346116164559,1.0,0.8516452727327657
2025-02-21,3.1422774650921315,2.7243648653087793,5.880362038293506,-0.07853622344537192,-0.021193396235492545,1.0,0.8695169239857508
2025-02-24,3.138270493724691,2.720890807994928,5.853604604208765,-0.07971125620737518,-0.025647263703411083,1.0,0.9348049500985497
2025-02-25,3.1337214603119405,2.71694678111045,5.824493557647565,-0.08104524709607075,-0.030492898110109468,1.0,0.9556897994306767
2025-02-26,3.14737890403459,2.7287878295987724,5.827434356277017,-0.07704024123310627,-0.030003392004855356,1.0,0.9700448993471307
2025-02-27,3.1114210543931335,2.6976122560590348,5.734416767845984,-0.08758477662041286,-0.045486491383710304,1.0,0.9670886075949368
2025-02-28,3.123716719817809,2.708272638297939,5.823906371494569,-0.0839791083039324,-0.030590637276583954,1.0,0.9957587504115585
2025-03-03,3.0723975933277177,2.6637787873630274,5.721871064112887,-0.09902829368949395,-0.04757476717061948,1.0,0.9727452776581615
2025-03-04,3.0717831138090523,2.6500621280725767,5.654142640142579,-0.09920848803075599,-0.05884839763979688,0.0,1.0270513835242918
2025-03-05,3.0717831138090523,2.6744050022130783,5.714911234871488,-0.09920848803075599,-0.04873325482464341,0.0,1.0320456229741226
2025-03-06,3.0717831138090523,2.615102459194785,5.61346554757504,-0.09920848803075599,-0.06561924041576339,0.0,1.0096685402064627
2025-03-07,3.0717831138090523,2.6388587946912487,5.644928381163518,-0.09920848803075599,-0.06038214292261601,0.0,1.0493670548268554
2025-03-10,3.0717831138090523,2.5813764296909665,5.494572825496407,-0.09920848803075599,-0.08540934530254951,0.0,1.0345285454689452
2025-03-11,3.0717831138090523,2.5814964744219147,5.448896436107105,-0.09920848803075599,-0.09301233832903721,0.0,1.0832037614221228
2025-03-12,3.0717831138090523,2.6080057397226186,5.477810942639893,-0.09920848803075599,-0.08819941868997727,0.0,1.062352006231174
2025-03-13,3.0717831138090523,2.5852565882548464,5.404789933012855,-0.09920848803075599,-0.10035401835085778,0.0,1.0236586363287303
2025-03-14,3.0717831138090523,2.630517655013566,5.516430145498182,-0.09920848803075599,-0.08177111877516718,0.0,1.0249376786107969
2025-03-17,3.094248936618893,2.650282338010035,5.55896858774656,-0.09262045048164158,-0.07469044790568269,1.0,0.9819575969816229
2025-03-18,3.077180198407844,2.6356626431052383,5.498885144943322,-0.09762580858502423,-0.08469154481259755,1.0,0.9629108326123317
2025-03-19,3.0982089008772786,2.653674121783133,5.558772656201209,-0.0914592024183849,-0.07472306138921081,1.0,0.9877105452074196
2025-03-20,3.108541062751323,2.6625238125123354,5.542698359202605,-0.0884293258380392,-0.0773986837319589,1.0,0.9553528599561996
2025-03-21,3.108179823011443,2.6622144038894344,5.544526850798198,-0.08853525834675291,-0.07709432498039903,1.0,0.9560599167213422
2025-03-24,3.148246187178687,2.6965319974237016,5.643821550477201,-0.07678591296000503,-0.06056637871931714,1.0,0.9474201296603393
2025-03-25,3.143163830743902,2.692178863667986,5.657387071819022,-0.0782762992820979,-0.05830835076348473,1.0,0.9180671827460289
2025-03-26,3.1240579671539823,2.675814332609886,5.589848494563465,-0.08387903850977096,-0.06955038059023722,1.0,0.9002625032464977
2025-03-27,3.1200186993550023,2.672354623864595,5.575003941829318,-0.08506354210689515,-0.07202130774599602,1.0,0.9238911219266835
2025-03-28,3.0641566622427936,2.624507739739776,5.46273212392761,-0.10144492289051132,-0.09070934022821531,1.0,0.9396682037972829
2025-03-31,3.06685959578517,2.6268228530919693,5.499402355544405,-0.10065229544834453,-0.08460545331881175,1.0,0.9836437880446071
2025-04-01,3.0662462238660133,2.6261186299491754,5.514935102619522,-0.10083216498925485,-0.08201997383426285,0.0,1.0141101818995994
2025-04-02,3.0824798117252508,2.6405472796871536,5.549835865497552,-0.09607171231059053,-0.07621062111771681,1.0,0.9977085382436518
2025-04-03,3.081863315762906,2.5111096998506124,5.276335508127845,-0.09625249796812829,-0.12173570174746495,0.0,1.0027971671294396
2025-04-04,3.081863315762906,2.4108556044641314,4.967443037809079,-0.09625249796812829,-0.17315192201285556,0.0,1.0964207786761482
